node_id	layer_id	op_id	name	op_type	inputs	outputs
N219	L219	sigmoid_054	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Sigmoid	Sigmoid	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv_output_0:FLOAT:[1, 80, 80, 80]	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Sigmoid_output_0:FLOAT:[1, 80, 80, 80]
N220	L220	mul_055	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul	Mul	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv_output_0:FLOAT:[1, 80, 80, 80] | /model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Sigmoid_output_0:FLOAT:[1, 80, 80, 80]	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0:FLOAT:[1, 80, 80, 80]
N221	L221	conv_063	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv	Conv	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0:FLOAT:[1, 80, 80, 80] | model.23.one2one_cv3.0.1.0.conv.weight:FLOAT:[80, 1, 3, 3] | model.23.one2one_cv3.0.1.0.conv.bias:FLOAT:[80]	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv_output_0:FLOAT:[1, 80, 80, 80]
N222	L222	sigmoid_055	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Sigmoid	Sigmoid	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv_output_0:FLOAT:[1, 80, 80, 80]	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Sigmoid_output_0:FLOAT:[1, 80, 80, 80]
N223	L223	mul_056	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul	Mul	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv_output_0:FLOAT:[1, 80, 80, 80] | /model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Sigmoid_output_0:FLOAT:[1, 80, 80, 80]	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0:FLOAT:[1, 80, 80, 80]
N224	L224	conv_064	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	Conv	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0:FLOAT:[1, 80, 80, 80] | model.23.one2one_cv3.0.1.1.conv.weight:FLOAT:[80, 80, 1, 1] | model.23.one2one_cv3.0.1.1.conv.bias:FLOAT:[80]	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv_output_0:FLOAT:[1, 80, 80, 80]
N225	L225	sigmoid_056	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Sigmoid	Sigmoid	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv_output_0:FLOAT:[1, 80, 80, 80]	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Sigmoid_output_0:FLOAT:[1, 80, 80, 80]
N226	L226	mul_057	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul	Mul	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv_output_0:FLOAT:[1, 80, 80, 80] | /model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Sigmoid_output_0:FLOAT:[1, 80, 80, 80]	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0:FLOAT:[1, 80, 80, 80]
N227	L227	conv_065	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	Conv	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0:FLOAT:[1, 80, 80, 80] | model.23.one2one_cv3.0.2.weight:FLOAT:[80, 80, 1, 1] | model.23.one2one_cv3.0.2.bias:FLOAT:[80]	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0:FLOAT:[1, 80, 80, 80]
N228	L228	concat_014	/model.23/Concat	Concat	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0:FLOAT:[1, 64, 80, 80] | /model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0:FLOAT:[1, 80, 80, 80]	/model.23/Concat_output_0:FLOAT:[1, 144, 80, 80]
